Code_commune_INSEE,Nom_commune,Code_postal
09065,BOUSSENAC,09320
09073,CAMARADE,09290
09081,LE CARLARET,09100
09084,CASTEX,09350
09087,CAUSSOU,09250
09093,CELLES,09000
09099,COS,09000
09101,COUSSA,09120
09107,DUN,09600
09113,ERCE,09140
09124,LE FOSSAT,09130
09143,ILLIER ET LARAMADE,09220
09165,LESPARROU,09300
09169,LIMBRASSAC,09600
09174,LOUBIERES,09000
09175,LUDIES,09100
09184,MAUVEZIN DE STE CROIX,09230
09188,MERCUS GARRABET,09400
09189,MERENS LES VALS,09110
09196,MONTAGAGNE,09240
09198,MONTARDIT,09230
09203,MONTELS,09240
09214,MOULIS,09200
09234,PRADIERES,09000
09238,LES PUJOLS,09100
09239,QUERIGUT,09460
09251,ROUMENGOUX,09500
09254,ST AMADOU,09100
09255,ST AMANS,09100
09258,ST FELIX DE RIEUTORD,09120
09260,STE FOI,09500
09261,ST GIRONS,09200
09268,ST LIZIER,09190
09269,ST MARTIN DE CARALP,09000
09279,SALSEIN,09800
09280,SAURAT,09400
09284,SEGURA,09120
09290,SENTEIN,09800
09291,SENTENAC D OUST,09140
09293,SERRES SUR ARGET,09000
09294,SIEURAS,09130
09296,AULOS SINSAT,09310
09300,SOULA,09000
09305,TABRE,09600
09306,TARASCON SUR ARIEGE,09400
70112,CEMBOING,70500
09308,TAURIGNAN VIEUX,09190
70115,CERRE LES NOROY,70000
09309,TEILHET,09500
70122,CHAMPLITTE,70600
09311,TIGNAC,09110
70122,CHAMPLITTE,70600
09313,TOURTOUSE,09230
70125,CHAMPVANS,70100
09316,TROYE D ARIEGE,09500
70126,CHANCEY,70140
09321,USSAT,09400
70128,LA CHAPELLE LES LUXEUIL,70300
09326,VEBRE,09310
70143,CHAUVIREY LE CHATEL,70500
09334,VAL DE SOS,09220
70148,CHEMILLY,70360
09335,VILLENEUVE,09800
70149,CHENEBIER,70400
09336,VILLENEUVE D OLMES,09300
70155,CITERS,70300
10011,ARRENTIERES,10200
70178,LA COTE,70200
10018,AUXON,10130
70179,COULEVON,70000
10019,VAL D AUZON,10220
70180,COURCHATON,70110
10022,AVIREY LINGEY,10340
70183,COURTESOULT ET GATEY,70600
10029,BALNOT SUR LAIGNES,10110
70194,CUVE,70800
10031,BARBUISE,10400
70197,DAMPIERRE SUR LINOTTE,70230
10040,BERNON,10130
70201,DELAIN,70180
10041,BERTIGNOLLES,10110
70203,LA DEMIE,70000
10042,BERULLE,10160
70215,ERREVET,70400
10043,BESSY,10170
70216,ESBOZ BREST,70300
10045,BEUREY,10140
70217,ESMOULIERES,70310
10052,BOULAGES,10380
70237,FLEUREY LES LAVONCOURT,70120
10056,BOUY LUXEMBOURG,10220
70239,FONDREMAND,70190
10058,BRAGELOGNE BEAUVOIR,10340
70245,FOUGEROLLES ST VALBERT,70220
70248,FRAHIER ET CHATEBIER,70400
70260,FROTEY LES LURE,70200
70265,GERMIGNEY,70100
70276,GRANGES LA VILLE,70400
70283,HAUT DU THEM CHATEAU LAMBERT,70440
70290,JASNEY,70800
70296,LARIANS ET MUNANS,70230
70299,LAVONCOURT,70120
70302,LIEUCOURT,70140
70305,LOEUILLEY,70100
70307,LONGEVELLE,70110
70308,LA LONGINE,70310
